Estudiantes matriculados en primer curso en programas de ingeniería Electrónica,,,,,
Año,Primer curso,Oficial,Privada,Hombres,Mujeres
2012 - 1,"3,393","1,914","1,479","2,930",463
2012 - 2,"2,209","1,546",663,"1,877",332
2013 - 1,"2,682","1,404","1,278","2,297",385
2013 - 2,"2,611","1,687",924,"2,288",323
2014 - 1,"3,172","1,770","1,402","2,803",369
2014 - 2,"2,464","1,591",873,"2,201",263
2015 - 1,"3,482","1,900","1,582","3,036",446
2015 - 2,"2,395","1,487",908,"2,134",261
2016 - 1,"3,590","1,933","1,657","3,135",455
2016 - 2,"2,393","1,482",911,"2,110",283
2017 - 1,"3,427","1,904","1,523","2,966",461
2017 - 2,"2,426","1,583",843,"2,112",314
2018 - 1,"3,378","2,056","1,322","2,994",384
2018 - 2,"2,297","1,593",704,"2,025",272
2019 - 1,"3,350","2,258","1,092","2,973",377
2019 - 2,"2,339","1,725",614,"2,079",260
2020 - 1,"3,216","2,058","1,158","2,858",358
2020 - 2,"1,727","1,387",340,"1,523",204
2021 - 1,"2,984","2,154",830,"2,627",357
2021 - 2,"2,310","1,801",509,"2,033",277
2022 - 1,"3,048","2,118",930,"2,672",376
2022 - 2,"2,173","1,584",589,"1,892",281